Brand	Model	AndroidSystem	Density
Google	Nexus	4.0.3	240
 
Time	Module	TestCases	CaseDescription	AppVer	TestResults	DetailInfo
2013-08-09 13:54:21	CachePageActivityTest	testCachedManagement	编辑缓存页视频	v3.1	Passed	
2013-08-09 13:55:08	CachePageActivityTest	testPlayInCachePage	播放缓存的视频	v3.1	Passed	
2013-08-09 13:55:22	CachePageActivityTest	testCacheTotalNum	输出缓存视频的个数	v3.1	Passed	
2013-08-09 13:55:46	ChannelActivityTest	testPlayTVVideos	播放电视剧频道视频	v3.1	Failed	junit.framework.AssertionFailedError: View is null and can therefore not be clicked!
2013-08-09 13:56:18	ChannelActivityTest	testPlayTVVideos	播放电视剧频道视频	v3.1	Passed	
2013-08-09 13:56:44	ChannelActivityTest	testFilterTVChannel	频道页的“筛选”	v3.1	Failed	junit.framework.AssertionFailedError: The text: '筛选' is not found!
2013-08-09 13:57:10	ChannelActivityTest	testFilterTVChannel	频道页的“筛选”	v3.1	Passed	
2013-08-09 13:57:54	ChannelActivityTest	testPlayMoiveVideos	播放电影频道视频	v3.1	Passed	
2013-08-09 13:58:09	ChannelActivityTest	testPlayCartoonVideos	播放动漫频道视频	v3.1	Failed	junit.framework.AssertionFailedError: Click can not be completed!
2013-08-09 13:58:38	ChannelActivityTest	testPlayCartoonVideos	播放动漫频道视频	v3.1	Passed	
2013-08-09 13:59:20	ChannelActivityTest	testPlayVarietyShowVideos	播放综艺频道视频	v3.1	Passed	
2013-08-09 14:00:05	ChannelActivityTest	testPlayMusicVideos	播放音乐频道视频	v3.1	Passed	
2013-08-09 14:00:47	ChannelActivityTest	testPlayEntertainmentVideos	播放娱乐频道视频	v3.1	Passed	
2013-08-09 14:01:22	ChannelActivityTest	testPlayRanklistVideos	点击排行榜并播放	v3.1	Passed	
2013-08-09 14:01:58	ChannelActivityTest	testPlayAllVideos	点击全部视频并播放	v3.1	Passed	
2013-08-09 14:02:42	ChannelActivityTest	testPlayOriginalVideos	播放原创频道视频	v3.1	Passed	
2013-08-09 14:03:14	ChannelActivityTest	testPlayInformationVideos	播放资讯频道视频	v3.1	Passed	
2013-08-09 14:03:55	ChannelActivityTest	testPlayDocumentaryVideos	播放记录片频道视频	v3.1	Passed	
2013-08-09 14:04:37	ChannelActivityTest	testPlayFunnyVideos	播放搞笑频道视频	v3.1	Failed	junit.framework.AssertionFailedError: 进入搞笑页超时
2013-08-09 14:05:18	ChannelActivityTest	testPlayFunnyVideos	播放搞笑频道视频	v3.1	Failed	junit.framework.AssertionFailedError: 进入搞笑页超时
2013-08-09 14:06:00	ChannelActivityTest	testPlayFunnyVideos	播放搞笑频道视频	v3.1	Failed	junit.framework.AssertionFailedError: 进入搞笑页超时
2013-08-09 14:06:23	ChannelActivityTest	testFilterChannel	不同频道的切换	v3.1	Passed	
2013-08-09 14:07:56	ChannelActivityTest	testPlayChannelVideo	播放不同视频，并实现在该频道页的滑动（可设定滑动次数）	v3.1	Passed	
2013-08-09 14:08:08	DetailActivityTest	testTabOfSelectShow	详情页："选集"Tab,并播放选集下的一集视频	v3.1	Failed	junit.framework.AssertionFailedError: Click can not be completed!
2013-08-09 14:08:42	DetailActivityTest	testTabOfSelectShow	详情页："选集"Tab,并播放选集下的一集视频	v3.1	Passed	
2013-08-09 14:09:27	DetailActivityTest	testTabOfCache	详情页："缓存"Tab	v3.1	Failed	junit.framework.AssertionFailedError: The text: '开始缓存' is not found!
2013-08-09 14:10:13	DetailActivityTest	testTabOfCache	详情页："缓存"Tab	v3.1	Failed	junit.framework.AssertionFailedError: The text: '开始缓存' is not found!
